date,market,1d_ta,7d_ta,30d_ta
2022-11-22,DAI aave_v2,2.2734211649535787,2.448042560507717,2.353329390810308
2022-11-21,DAI aave_v2,2.2657179493066484,2.528219531776546,2.3461658548172717
2022-11-20,DAI aave_v2,2.245052113308917,2.615345577125746,2.338271603673897
2022-11-19,DAI aave_v2,2.249684157893694,2.721644640473249,2.329394721640359
2022-11-18,DAI aave_v2,2.2280250957076833,2.823197359789029,2.3195064839883233
2022-11-17,DAI aave_v2,2.7511732419542296,2.933722595290269,2.312256185746914
2022-11-16,DAI aave_v2,3.123224200429269,2.985628692524028,2.288421141550211
2022-11-15,DAI aave_v2,2.834659963835379,2.892429049956081,2.252077570902406
2022-11-14,DAI aave_v2,2.8756002667510505,2.788971427867559,2.225230266882743
2022-11-13,DAI aave_v2,2.989145556741439,2.680377810759628,2.197011680185532
2022-11-12,DAI aave_v2,2.960553193104154,2.5562033742925943,2.16429014387196
2022-11-11,DAI aave_v2,3.001701744216362,2.434719604038536,2.1306110873957937
2022-11-10,DAI aave_v2,3.1145159225905426,2.308894386169813,2.0951303363552727
2022-11-09,DAI aave_v2,2.470826702453641,2.1652546130147874,2.0553327669703836
2022-11-08,DAI aave_v2,2.110456609215724,2.112661684819446,2.035324437601802
2022-11-07,DAI aave_v2,2.1154449469955323,2.1103634960169306,2.0269511867134
2022-11-06,DAI aave_v2,2.1199245014722026,2.101286889309027,2.018552819801605
2022-11-05,DAI aave_v2,2.1101668013257475,2.0894795291641595,2.0101783577181003
2022-11-04,DAI aave_v2,2.1209252191353,2.0759616557849823,2.0018993859070053
2022-11-03,DAI aave_v2,2.1090375105053654,2.0585424368898573,1.9926393860835614
2022-11-02,DAI aave_v2,2.10267620508625,2.0424094575331595,1.9834266356946004
2022-11-01,DAI aave_v2,2.094369287598115,2.0391641221636156,1.9722514119516759
2022-10-31,DAI aave_v2,2.051908700040207,2.037228778312022,1.9576695224934209
2022-10-30,DAI aave_v2,2.037272980458132,2.0402386670983166,1.9445602481568105
2022-10-29,DAI aave_v2,2.015541687671506,2.0432732534846516,1.9320211930459261
2022-10-28,DAI aave_v2,1.9989906868694245,2.045180214532352,1.9202670368329835
2022-10-27,DAI aave_v2,1.9961066550084803,2.0422880667371173,1.9087485142100453
2022-10-26,DAI aave_v2,2.0799588574994434,2.036135262926281,1.8975233636196849
2022-10-25,DAI aave_v2,2.0808218806369614,2.026214875921418,1.8820870763538469
2022-10-24,DAI aave_v2,2.0729779215442683,2.019829166695157,1.8805548326178538
2022-10-23,DAI aave_v2,2.0585150851624756,2.0141061894738503,1.8796294180848958
2022-10-22,DAI aave_v2,2.0288904150054106,2.009924154914279,1.8792491548862262
2022-10-21,DAI aave_v2,1.9787456523027824,2.0099459050327533,1.8809387425663495
2022-10-20,DAI aave_v2,1.9530370283326257,2.014053592894395,1.9046785887082616
2022-10-19,DAI aave_v2,2.010516148465402,2.0136456601067585,1.9278884581612137
2022-10-18,DAI aave_v2,2.0361219160531343,2.003183240754662,1.9487054774397528
2022-10-17,DAI aave_v2,2.032917080995121,1.9866785157533402,1.968453041467267
2022-10-16,DAI aave_v2,2.029240843245477,1.9634870500963502,1.9887128109863812
2022-10-15,DAI aave_v2,2.0290426658347314,1.939203941427519,2.008155918774338
2022-10-14,DAI aave_v2,2.0074994673342736,1.91555412339994,2.0272899976497034
2022-10-13,DAI aave_v2,1.9501814988191704,1.8957242907760528,2.0445280887843196
2022-10-12,DAI aave_v2,1.9372792130007257,1.8830980262294437,2.0610150443340944
2022-10-11,DAI aave_v2,1.9205888410438816,1.8696474564339078,2.0702965351864298
2022-10-10,DAI aave_v2,1.8705768213961922,1.8570854789757159,2.0796845664907475
2022-10-09,DAI aave_v2,1.8592590825636583,1.842348717747476,2.0903501805705154
2022-10-08,DAI aave_v2,1.8634939396416785,1.8134420779313059,2.1011183589947264
2022-10-07,DAI aave_v2,1.8686906389670621,1.7841758679741937,2.1104603474456196
2022-10-06,DAI aave_v2,1.8617976469929074,1.7545202519977,2.1201815403988387
2022-10-05,DAI aave_v2,1.843125224431975,1.7261087311820307,2.1276617880814315
2022-10-04,DAI aave_v2,1.8326549988365382,1.6990101288605033,2.1359631778076382
2022-10-03,DAI aave_v2,1.7674194927985125,1.6742525772120933,2.144618259868662
2022-10-02,DAI aave_v2,1.656912603850467,1.6527455410300627,2.1559520352370733
2022-10-01,DAI aave_v2,1.6586304699418943,1.7067372502738778,2.1708990985294307
2022-09-30,DAI aave_v2,1.6611013271316055,1.7619636810758252,2.186454665610386
2022-09-29,DAI aave_v2,1.6629170012832222,1.8171073756573652,2.212461672611539
2022-09-28,DAI aave_v2,1.6534350081812825,1.8766303819610635,2.2392049027783325
2022-09-27,DAI aave_v2,1.6593521372976694,2.0248455288723295,2.2650519404755864
2022-09-26,DAI aave_v2,1.6168702395242973,2.1662713823899753,2.287633799118848
2022-09-25,DAI aave_v2,2.0348545685571735,2.311722309146729,2.3110653830166132
2022-09-24,DAI aave_v2,2.0452154855555267,2.396535776049785,2.3209987748963132
2022-09-23,DAI aave_v2,2.0471071892023858,2.481606444765931,2.3285375014490457
2022-09-22,DAI aave_v2,2.0795780454091086,2.562381714434758,2.3358850439353813
2022-09-21,DAI aave_v2,2.6909410365601443,2.6371655696756986,2.341238233685757
2022-09-20,DAI aave_v2,2.64933311192119,2.613408593220359,2.3262991494700356
2022-09-19,DAI aave_v2,2.635026726821575,2.584188172276248,2.312345975934407
2022-09-18,DAI aave_v2,2.628548836878563,2.524287773954707,2.299077894779186
2022-09-17,DAI aave_v2,2.640710166568549,2.4633850515682565,2.286292737837492
2022-09-16,DAI aave_v2,2.612534076884175,2.399075776885496,2.2731532437063513
2022-09-15,DAI aave_v2,2.603065032095694,2.337614399514898,2.260969786969363
2022-09-14,DAI aave_v2,2.5246422013727643,2.271998479668153,2.2490071657191897
2022-09-13,DAI aave_v2,2.444790165312415,2.2199533691239917,2.240106271919581
2022-09-12,DAI aave_v2,2.2157239385707896,2.1687269280037462,2.2334332412441555
2022-09-11,DAI aave_v2,2.2022297801734063,2.151075924810514,2.2332946290703486
2022-09-10,DAI aave_v2,2.1905452437892254,2.135372736309635,2.235529090085317
2022-09-09,DAI aave_v2,2.1823044352899896,2.1234995234612972,2.2236437790096963
